id,codigo,valores
Cat_028_EX-11052000,EX-1.1052.000,"Exportación Definitiva, Exportación Definitiva de DPA con origen en Compras Locales, Régimen Común"
Cat_028_EX-11054000,EX-1.1054.000,"Exportación Definitiva, Exportación Definitiva de Zona Franca con origen en Compras Locales, Régimen Común"
Cat_028_EX-11100000,EX-1.1100.000,"Exportación Definitiva, Exportación Definitiva de Envíos de Socorro, Régimen Común"
Cat_028_EX-11200000,EX-1.1200.000,"Exportación Definitiva, Exportación Definitiva de Envíos Postales, Régimen Común"
Cat_028_EX-11300000,EX-1.1300.000,"Exportación Definitiva, Exportación Definitiva Envíos que requieren despacho urgente, Régimen Común"
Cat_028_EX-11400000,EX-1.1400.000,"Exportación Definitiva, Exportación Definitiva Courier, Régimen Común"
Cat_028_EX-11400011,EX-1.1400.011,"Exportación Definitiva, Exportación Definitiva Courier, Muestras Sin Valor Comercial"
Cat_028_EX-11400012,EX-1.1400.012,"Exportación Definitiva, Exportación Definitiva Courier, Material Publicitario"
Cat_028_EX-11400017,EX-1.1400.017,"Exportación Definitiva, Exportación Definitiva Courier, Declaración de Documentos"
Cat_028_EX-11500000,EX-1.1500.000,"Exportación Definitiva, Exportación Definitiva Menaje de casa, Régimen Común"
Cat_028_EX-22100000,EX-2.2100.000,"Exportación Temporal, Exportación Temporal para Perfeccionamiento Pasivo, Régimen Común"
Cat_028_EX-22200000,EX-2.2200.000,"Exportación Temporal, Exportación Temporal con Reimportación en el mismo estado, Régimen Común"
Cat_028_EX-33050000,EX-3.3050.000,"Re-Exportación, Reexportación Proveniente de Importación Temporal, Régimen Común"
Cat_028_EX-33051000,EX-3.3051.000,"Re-Exportación, Reexportación Proveniente de Tiendas Libres, Régimen Común"
Cat_028_EX-33052000,EX-3.3052.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal para Perfeccionamiento Activo, Régimen Común"
Cat_028_EX-33053000,EX-3.3053.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal, Régimen Común"
Cat_028_EX-33054000,EX-3.3054.000,"Re-Exportación, Reexportación Proveniente de Régimen de Zona Franca, Régimen Común"
Cat_028_EX-33055000,EX-3.3055.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal para Perfeccionamiento Activo con Garantía, Régimen Común"
Cat_028_EX-33056000,EX-3.3056.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Régimen Común"
Cat_028_EX-33056057,EX-3.3056.057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
Cat_028_EX-33056058,EX-3.3056.058,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
Cat_028_EX-33056072,EX-3.3056.072,"Re-Exportación, Reexportación Proveniente de Admisión Temporal  Distribución Internacional Parque de Servicios, Decreto 738 Eléctricos e Híbridos"
Cat_028_EX-33057000,EX-3.3057.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal  Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Régimen Común"
Cat_028_EX-33057057,EX-3.3057.057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
Cat_028_EX-33057058,EX-3.3057.058,"Operaciones Internacional de Logística Parque de Servicios,  Remisión entre Usuarios Directos de Diferente Parque de Servicios"
Cat_028_EX-33058033,EX-3.3058.033,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Centro Internacional de llamadas (Call Center)"
Cat_028_EX-33058036,EX-3.3058.036,"Re-Exportación, Reexportación Proveniente de Admisión Temporal  Centro Servicio LSI, Reparación y Mantenimiento de Embarcaciones Marítimas LSI"
Cat_028_EX-33058037,EX-3.3058.037,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Aeronaves LSI"
Cat_028_EX-33058043,EX-3.3058.043,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Contenedores LSI"
Cat_028_EX-33059000,EX-3.3059.000,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Régimen Común"
Cat_028_EX-33059057,EX-3.3059.057,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
Cat_028_EX-33059058,EX-3.3059.058,"Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
Cat_028_EX-33070000,EX-3.3070.000,"Re-Exportación, Reexportación Proveniente de Depósito., Régimen Común"
Cat_028_EX-33070072,EX-3.3070.072,"Re-Exportación, Reexportación Proveniente de Depósito., Decreto 738 Eléctricos e Híbridos"
Cat_028_EX-22400000,EX-2.2400.000,"Traslados Definitivos"
Cat_028_EX-33071000,EX-3.3071.000,"Reexp. Prov. de Deposito."
Cat_028_EX-33052000,EX-3.3052.000,"Reexp. Prov. de Adm Temp. para Perfeccionamiento Activo"
Cat_028_EX-33054000,EX-3.3054.000,"Reexp. Prov. de Régimen de Zona Franca"
Cat_028_EX-33055000,EX-3.3055.000,"Reexp. Prov. de Adm. Temporal para Perfeccionamiento Activo con Garantía"
Cat_028_EX-33056000,EX-3.3056.000,"Re-Exp. Prov. de Adm. Temporal Ley de Servi. Internacionales"
Cat_028_EX-33057000,EX-3.3057.000,"Reexportación Prov. de Centro de Servicio LSI"
