id,code,name,dpto_id/id,shape_id
dpto_01,dpto_sv_dte.01_1,Ahuachapan,dpto_sv_dte.01,79315794B66160395082185
dpto_02,dpto_sv_dte.01_2,Apaneca,dpto_sv_dte.01,79315794B55862864187575
dpto_03,dpto_sv_dte.01_3,Atiquizaya,dpto_sv_dte.01,79315794B89742323976161
dpto_04,dpto_sv_dte.01_4,Concepcion De Ataco,dpto_sv_dte.01,79315794B79197720155257
dpto_05,dpto_sv_dte.01_5,El Refugio,dpto_sv_dte.01,79315794B9251356141364
dpto_06,dpto_sv_dte.01_6,Guaymango,dpto_sv_dte.01,79315794B28881151694669
dpto_07,dpto_sv_dte.01_7,Jujutla,dpto_sv_dte.01,79315794B39024249178048
dpto_08,dpto_sv_dte.01_8,San Francisco Menendez,dpto_sv_dte.01,79315794B79083101241922
dpto_09,dpto_sv_dte.01_9,San Lorenzo,dpto_sv_dte.01,79315794B87184016515071
dpto_10,dpto_sv_dte.01_10,San Pedro Puxtla,dpto_sv_dte.01,79315794B15656170761349
dpto_11,dpto_sv_dte.01_11,Tacuba,dpto_sv_dte.01,79315794B46702260316580
dpto_12,dpto_sv_dte.01_12,Turin,dpto_sv_dte.01,79315794B12195007056985
dpto_13,dpto_sv_dte.02_1,Candelaria De La Frontera,dpto_sv_dte.02,79315794B59172215696932
dpto_14,dpto_sv_dte.02_2,Coatepeque,dpto_sv_dte.02,79315794B83892648288540
dpto_15,dpto_sv_dte.02_3,Chalchuapa,dpto_sv_dte.02,79315794B37288468321853
dpto_16,dpto_sv_dte.02_4,El Congo,dpto_sv_dte.02,79315794B22688321634374
dpto_17,dpto_sv_dte.02_5,El Porvenir,dpto_sv_dte.02,79315794B64190387367704
dpto_18,dpto_sv_dte.02_6,Masahuat,dpto_sv_dte.02,79315794B43764997536293
dpto_19,dpto_sv_dte.02_7,Metapan,dpto_sv_dte.02,79315794B39716391239783
dpto_20,dpto_sv_dte.02_8,San Antonio Pajonal,dpto_sv_dte.02,79315794B23377329040310
dpto_21,dpto_sv_dte.02_9,San Sebastian Salitrillo,dpto_sv_dte.02,79315794B69252681514756
dpto_22,dpto_sv_dte.02_10,Santa Ana,dpto_sv_dte.02,79315794B33324445262057
dpto_23,dpto_sv_dte.02_11,Santa Rosa Guachipilin,dpto_sv_dte.02,79315794B11387427792539
dpto_24,dpto_sv_dte.02_12,Santiago De La Frontera,dpto_sv_dte.02,79315794B9144970465334
dpto_25,dpto_sv_dte.02_13,Texistepeque,dpto_sv_dte.02,79315794B47376975078069
dpto_26,dpto_sv_dte.03_1,Acajutla,dpto_sv_dte.03,79315794B43866171766073
dpto_27,dpto_sv_dte.03_2,Armenia,dpto_sv_dte.03,79315794B93116045518759
dpto_28,dpto_sv_dte.03_3,Caluco,dpto_sv_dte.03,79315794B15699975007255
dpto_29,dpto_sv_dte.03_4,Cuisnahuat,dpto_sv_dte.03,79315794B16332019908900
dpto_30,dpto_sv_dte.03_5,Santa Isabel Ishuatan,dpto_sv_dte.03,79315794B93813443509848
dpto_31,dpto_sv_dte.03_6,Izalco,dpto_sv_dte.03,79315794B52861243769540
dpto_32,dpto_sv_dte.03_7,Juayua,dpto_sv_dte.03,79315794B4884982694347
dpto_33,dpto_sv_dte.03_8,Nahuizalco,dpto_sv_dte.03,79315794B56426734857576
dpto_34,dpto_sv_dte.03_9,Nahulingo,dpto_sv_dte.03,79315794B27237930085437
dpto_35,dpto_sv_dte.03_10,Salcoatitan,dpto_sv_dte.03,79315794B92083605732567
dpto_36,dpto_sv_dte.03_11,San Antonio Del Monte,dpto_sv_dte.03,79315794B54845900881813
dpto_37,dpto_sv_dte.03_12,San Julian,dpto_sv_dte.03,79315794B97184435061197
dpto_38,dpto_sv_dte.03_13,Santa Catarina Masahuat,dpto_sv_dte.03,79315794B87573913845404
dpto_39,dpto_sv_dte.03_14,Santo Domingo Guzman,dpto_sv_dte.03,79315794B81756807181676
dpto_40,dpto_sv_dte.03_15,Sonsonate,dpto_sv_dte.03,79315794B73120282321330
dpto_41,dpto_sv_dte.03_16,Sonzacate,dpto_sv_dte.03,79315794B61024232293340
dpto_42,dpto_sv_dte.04_1,Agua Caliente,dpto_sv_dte.04,79315794B21241114592747
dpto_43,dpto_sv_dte.04_2,Arcatao,dpto_sv_dte.04,79315794B16649044373913
dpto_44,dpto_sv_dte.04_3,Azacualpa,dpto_sv_dte.04,79315794B61762263444110
dpto_45,dpto_sv_dte.04_4,Citala,dpto_sv_dte.04,79315794B64069992176123
dpto_46,dpto_sv_dte.04_5,Comalapa,dpto_sv_dte.04,79315794B24722198093505
dpto_47,dpto_sv_dte.04_6,Concepcion Quezaltepeque,dpto_sv_dte.04,79315794B30507553712048
dpto_48,dpto_sv_dte.04_7,Chalatenango,dpto_sv_dte.04,79315794B44742877117508
dpto_49,dpto_sv_dte.04_8,Dulce Nombre de  Maria,dpto_sv_dte.04,79315794B6162920876089
dpto_50,dpto_sv_dte.04_9,El Carrizal,dpto_sv_dte.04,79315794B80367069215289
dpto_51,dpto_sv_dte.04_10,El Paraiso,dpto_sv_dte.04,79315794B81588611642369
dpto_52,dpto_sv_dte.04_11,La Laguna,dpto_sv_dte.04,79315794B29924680071783
